cProfile Report - Quantum Level: one_loop
Configuration: wave_size=3072, simulations=50000
Performance: 83,767 sims/s
================================================================================
         212401 function calls (164650 primitive calls) in 0.594 seconds

   Ordered by: cumulative time
   List reduced from 233 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.592    0.592 /home/cosmosapjw/omoknuni_quantum/python/mcts/core/mcts.py:461(_search_optimized)
       17    0.000    0.000    0.592    0.035 /home/cosmosapjw/omoknuni_quantum/python/mcts/core/mcts.py:637(_run_search_wave_vectorized)
       68    0.001    0.000    0.591    0.009 /home/cosmosapjw/omoknuni_quantum/python/benchmark_mcts_profiler.py:394(_profile_phase)
       17    0.000    0.000    0.342    0.020 /home/cosmosapjw/omoknuni_quantum/python/benchmark_mcts_profiler.py:369(instrumented_select)
       17    0.020    0.001    0.294    0.017 /home/cosmosapjw/omoknuni_quantum/python/mcts/core/mcts.py:661(_select_batch_vectorized)
       67    0.001    0.000    0.259    0.004 /home/cosmosapjw/omoknuni_quantum/python/mcts/gpu/csr_tree.py:964(batch_select_ucb_optimized)
       67    0.010    0.000    0.254    0.004 /home/cosmosapjw/omoknuni_quantum/python/mcts/gpu/unified_kernels.py:208(batch_ucb_selection)
       67    0.001    0.000    0.219    0.003 /home/cosmosapjw/venv/lib/python3.12/site-packages/torch/_tensor.py:1124(__format__)
       17    0.000    0.000    0.198    0.012 /home/cosmosapjw/omoknuni_quantum/python/benchmark_mcts_profiler.py:372(instrumented_expand)
       17    0.003    0.000    0.189    0.011 /home/cosmosapjw/omoknuni_quantum/python/mcts/core/mcts.py:873(_expand_batch_vectorized)
       53    0.154    0.003    0.172    0.003 {built-in method time.sleep}
       18    0.015    0.001    0.161    0.009 /home/cosmosapjw/omoknuni_quantum/python/mcts/core/mcts.py:897(_expand_node_batch)
      305    0.067    0.000    0.094    0.000 /home/cosmosapjw/omoknuni_quantum/python/mcts/gpu/csr_tree.py:512(add_children_batch)
      695    0.066    0.000    0.066    0.000 {method 'item' of 'torch._C.TensorBase' objects}
      298    0.005    0.000    0.055    0.000 /home/cosmosapjw/venv/lib/python3.12/site-packages/torch/cuda/memory.py:225(memory_stats)
47978/298    0.032    0.000    0.041    0.000 /home/cosmosapjw/venv/lib/python3.12/site-packages/torch/cuda/memory.py:314(_recurse_add_to_result)
