cProfile Report - Quantum Level: tree_level
Configuration: wave_size=3072, simulations=50000
Performance: 156,307 sims/s
================================================================================
         147051 function calls (110669 primitive calls) in 0.318 seconds

   Ordered by: cumulative time
   List reduced from 175 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.317    0.317 /home/cosmo/omoknuni_quantum/python/mcts/core/optimized_mcts.py:214(search)
       17    0.000    0.000    0.314    0.018 /home/cosmo/omoknuni_quantum/python/mcts/core/optimized_mcts.py:296(_run_search_wave_vectorized)
       68    0.001    0.000    0.314    0.005 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:394(_profile_phase)
       17    0.000    0.000    0.165    0.010 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:369(instrumented_select)
       17    0.034    0.002    0.109    0.006 /home/cosmo/omoknuni_quantum/python/mcts/core/optimized_mcts.py:320(_select_batch_vectorized)
       17    0.000    0.000    0.093    0.005 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:378(instrumented_backup)
       17    0.040    0.002    0.063    0.004 /home/cosmo/omoknuni_quantum/python/mcts/core/optimized_mcts.py:747(_backup_batch_vectorized)
       29    0.031    0.001    0.057    0.002 {built-in method time.sleep}
      226    0.004    0.000    0.039    0.000 /home/cosmo/venv/lib/python3.12/site-packages/torch/cuda/memory.py:225(memory_stats)
      166    0.001    0.000    0.031    0.000 /home/cosmo/venv/lib/python3.12/site-packages/torch/cuda/memory.py:523(memory_allocated)
       17    0.000    0.000    0.030    0.002 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:375(instrumented_evaluate)
       68    0.029    0.000    0.029    0.000 {built-in method torch.where}
36386/226    0.022    0.000    0.028    0.000 /home/cosmo/venv/lib/python3.12/site-packages/torch/cuda/memory.py:314(_recurse_add_to_result)
       17    0.000    0.000    0.026    0.002 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:372(instrumented_expand)
       17    0.025    0.001    0.026    0.002 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:738(batch_get_children)
      205    0.001    0.000    0.024    0.000 /home/cosmo/venv/lib/python3.12/site-packages/torch/cuda/__init__.py:1030(synchronize)
       17    0.011    0.001    0.021    0.001 /home/cosmo/omoknuni_quantum/python/mcts/core/optimized_mcts.py:915(_get_quantum_phases)
      205    0.019    0.000    0.019    0.000 {built-in method torch._C._cuda_synchronize}
      138    0.000    0.000    0.019    0.000 {built-in method builtins.next}
      138    0.000    0.000    0.018    0.000 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:196(timer)
       69    0.000    0.000    0.016    0.000 /usr/lib/python3.12/contextlib.py:141(__exit__)
       69    0.000    0.000    0.016    0.000 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:178(end_timer)
       17    0.000    0.000    0.013    0.001 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:782(batch_select_ucb_optimized)
